lat_values,lng_values,city,country,Temp,Humidity,Cloudiness,Wind Speed,Lat,Longitude
-27.219656701963487,146.28409356364625,roma,au,64.14,57,0,2.82,-26.58,148.78
-5.700931689247739,176.1361051346559,lolua,tv,30.2,100,75,3.36,60.21,24.65
-14.478299564194131,-16.637764571333292,georgetown,sh,74.8,100,92,18.43,-7.93,-14.42
17.419678581352713,14.614958348160172,bilma,ne,69.9,23,0,12.39,18.69,12.92
58.08005618311927,150.59609613153827,magadan,ru,5,92,88,2.24,59.57,150.8
-41.4173974798029,27.717840119935914,port elizabeth,za,51.8,81,0,2.24,-33.92,25.57
-51.56513392605113,-66.00668321893559,rio gallegos,ar,55.4,50,40,10.29,-51.62,-69.22
17.848600290887433,29.043484944840174,marawi,sd,75.7,39,0,3.33,18.48,31.82
29.396079882334575,120.20811303574368,wuning,cn,48.3,92,0,3.49,29.26,120.23
-20.020329541996375,154.6545871537498,yeppoon,au,75.2,83,40,4.7,-23.13,150.73
45.80162321106212,-118.44119113543911,college place,us,57.24,66,1,3.36,46.05,-118.39
60.92592036120797,139.09700958677178,solnechnyy,ru,27.51,67,0,5.5,50.72,136.63
26.253615464375017,32.02701834748612,el balyana,eg,52.84,62,0,2.89,31.9,76.22
47.82103835094057,7.385585915050427,wittenheim,fr,39.2,93,0,4.7,47.81,7.34
-22.181106515825306,-81.54932193615265,marcona,pe,62.02,93,0,12.88,-15.37,-75.16
-34.7822525688681,5.849992078037076,saldanha,za,62.6,42,0,13.87,-33.01,17.94
68.4208091321153,-57.574055176300774,kangaatsiaq,gl,30.07,100,44,8.75,68.31,-53.46
-24.219258209905206,168.1279548096814,vao,nc,72.42,100,0,8.86,-22.67,167.48
-2.322065597808148,88.16586432130589,meulaboh,id,76.6,100,76,5.79,4.14,96.13
41.50904623827165,26.05240265079931,ivajlovgrad,bg,46.86,88,44,6.8,41.53,26.13
62.719844461720555,150.05646565431164,yagodnoye,ru,-13.13,73,48,2.26,62.55,149.67
67.01515950625517,176.71599172259965,anadyr,ru,-0.41,84,0,6.71,64.75,177.48
-11.665163032522386,-85.4519087372657,chicama,pe,62.6,88,90,12.75,-7.84,-79.15
-20.47134715236095,-32.78077690865834,caravelas,br,78.04,100,36,21.83,-17.71,-39.25
59.8407164202809,167.90726186805125,tilichiki,ru,-16.1,94,0,2.89,60.47,166.1
-38.11950371708309,-66.74730591071203,general roca,ar,77,36,0,3.36,-39.03,-67.58
-2.762997142359808,-42.64665604919554,barreirinhas,br,86.64,57,0,17.81,-2.75,-42.83
-19.420622343318968,126.33504589039273,broome,au,82.4,61,0,10.29,-17.97,122.23
33.33909138270165,-8.633765339537945,azimur,ma,61.68,55,0,28.86,43.3,5.38
56.44456554663165,-50.06703033669973,paamiut,gl,37.9,85,0,5.12,61.99,-49.67
58.17537078490142,-12.60546217937349,ballina,ie,48.2,100,75,3.36,54.12,-9.17
27.477117197719977,-1.2948157075875883,adrar,dz,75.2,25,0,12.75,27.87,-0.29
-27.981290142201622,97.92115964604164,carnarvon,au,65.89,100,0,20.11,-24.87,113.63
12.926407489835,-15.276952088883462,kolda,sn,81.1,76,0,2.48,12.88,-14.95
-11.698884388374537,4.776050090444073,namibe,ao,69.85,100,0,3.6,-15.2,12.15
-25.35615377563657,146.48704615353688,emerald,au,70.35,58,0,3.11,-23.53,148.17
68.36088425488288,90.53668853294704,talnakh,ru,11.35,69,48,3.38,69.49,88.4
-23.233740127902337,-163.16918114287571,avarua,ck,78.8,65,40,10.29,-21.21,-159.78
54.21236617709897,14.18034551496578,swinoujscie,pl,44.6,93,75,9.17,53.91,14.25
19.570101448783262,5.86515949113064,arlit,ne,71.92,20,0,13.4,18.74,7.39
74.06666239562179,119.57310497108546,saskylakh,ru,3.25,82,48,13.33,71.92,114.08
66.86165986878154,36.28640086814818,lovozero,ru,28.45,97,76,9.42,68,35.01
-24.488241760083753,-48.62325382224802,apiai,br,75.75,71,76,5.57,-24.51,-48.84
6.092384280604037,93.97455037864597,sabang,id,80.47,100,80,9.26,5.89,95.32
6.332469058371373,-4.853955999057405,toumodi,ci,78.8,83,20,4.7,6.56,-5.02
-41.937398468227194,72.20544021036608,mahebourg,mu,75.2,83,64,12.75,-20.41,57.7
-82.33847064538799,58.60239291909792,east london,za,61.62,100,92,7.07,-33.02,27.91
-3.3827916265073554,-71.3979248712572,puerto narino,co,84.2,74,75,5.82,-3.77,-70.38
61.03038656116118,156.35933917107207,omsukchan,ru,-13.27,56,8,2.48,62.53,155.8
85.16534951469944,-132.292360291019,tuktoyaktuk,ca,28.4,92,90,13.87,69.45,-133.04
42.82835886395992,179.85002286201882,nikolskoye,ru,32,87,90,4.47,59.68,30.67
22.698379629594,109.16102877223204,guicheng,cn,63.64,87,20,2.04,23.1,109.61
69.19277866968605,-9.324041908201053,vestmanna,fo,48.2,100,92,26.4,62.16,-7.17
27.966161449629766,145.22721879709025,katsuura,jp,59,82,75,10.29,35.13,140.3
51.91851184900233,101.68523689697474,kyren,ru,1.59,59,20,2.1,51.68,102.14
-7.817875553507321,9.762934008220526,soyo,ao,76.15,88,32,3.78,-6.13,12.37
-11.74868157039515,110.02678899120679,bambanglipuro,id,73.86,99,88,2.77,-7.95,110.28
40.211122573212435,32.49079662779579,ankara,tr,41,80,0,4.7,39.92,32.85
-12.791778923753284,157.53398155854404,honiara,sb,82.4,78,20,3.36,-9.43,159.95
